Date,Type,Link
2022-11-14 14:05:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997773979012751360?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6997773979012751360%2C6997912071908536320%29
2022-11-14 02:33:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996072899673538560
2022-11-13 17:44:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997471641806991360
2022-11-11 18:22:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996867826833637376
2022-11-11 08:06:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996550505430716416
2022-11-11 08:05:51,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996733449940160512
2022-11-10 19:09:29,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6996000361547214848
2022-11-08 17:20:36,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995588388858863616
2022-11-08 17:04:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992169592680792065
2022-11-08 12:33:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995704051665424384
2022-11-08 12:33:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995691439791702016
2022-11-06 11:25:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6994368947647053824
2022-11-06 03:38:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992147806115291136
2022-11-06 03:37:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6994660005492797440
2022-11-04 13:09:36,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6991702145112641536
2022-11-03 02:38:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993537999611301888
2022-11-03 02:29:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993148368667439105
2022-11-03 02:28:36,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993119322223087616
2022-11-03 02:27:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993403955858812928
2022-11-01 05:25:00,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992738706482745344
2022-11-01 05:12:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992946490218287104
2022-10-31 06:34:42,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992424986548260864
2022-10-31 06:34:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992726837969719296
2022-10-31 06:08:47,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6990524857532735488
2022-10-31 05:55:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992461069491277824
2022-10-30 13:10:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992399616310751232
2022-10-27 14:18:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991319025062408192
2022-10-27 14:18:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991357071258456064
2022-10-26 17:20:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990859025454120960
2022-10-26 17:06:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989258802810281984
2022-10-26 16:58:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991020393390080000
2022-10-26 16:46:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6991049321513127937
2022-10-26 00:27:13,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990591804299440128
2022-10-25 23:57:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6986538134591184896
2022-10-25 23:55:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990455301820821504
2022-10-25 23:50:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6987863693195694081
2022-10-25 23:45:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990698065263239168
2022-10-25 17:54:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6990684280913887232
2022-10-25 17:53:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6989926438082621440
2022-10-25 16:59:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6990642697300529153
2022-10-25 11:38:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988147875830448128
